id,name,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,minimum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month
12512233,Skylit One Bedroom - One Mile from the Capitol,House,Private room,2,1,1,86.00,0.00,1,48,98,moderate,4.29
13207403,Cozy Streetcar Apartment,Apartment,Entire home/apt,3,1,0,75.00,5.00,2,18,97,flexible,2.23
11928505,Comfortable Room w/ Large Private Balcony Attached,Townhouse,Private room,2,1.5,1,70.00,0.00,3,7,94,strict,0.67
15958616,"Large, Private Fully furnished Unit",Apartment,Entire home/apt,4,1,1,115.00,0.00,2,4,95,flexible,4
11047306,Cozy Private Room in Upscale Hostel (Sleeps 2-3),Bed & Breakfast,Private room,3,0,1,98.00,0.00,1,21,97,flexible,1.41
12539684,Central condo with off-site parking,Apartment,Entire home/apt,3,1,1,111.00,10.00,3,14,90,strict,1.28
11532753,Adams Morgan apartment,Apartment,Entire home/apt,4,1,1,125.00,0.00,1,3,100,flexible,0.21
12562846,Super Comfortable - Great Space - Walk to Metro,Apartment,Entire home/apt,4,1,1,139.00,15.00,2,66,100,strict,5.24
2178429,Furnished Studio Sized Space with Private Entrance,Apartment,Private room,2,1,1,89.00,55.00,1,27,92,strict,0.73
16462766,Charming 2 Bedroom Apartment for Inauguration,Apartment,Entire home/apt,4,1.5,2,700.00,0.00,2,0,,moderate,
17820947,18th Street Corner Apartment 1-bed/bath,Apartment,Entire home/apt,2,1,1,89.00,0.00,2,0,,flexible,
17475753,Cozy-modern studio in great hood,Apartment,Entire home/apt,3,1,0,65.00,15.00,3,6,100,moderate,2.47
16488727,Spacious apartment in Meridian Hill (Adams Morgan),Apartment,Entire home/apt,5,1,1,72.00,20.00,3,1,100,strict,0.28
9410545,American Guest House - Room 203,Bed & Breakfast,Private room,2,1,1,249.00,0.00,1,1,100,moderate,0.07
18040553,Cozy private room in Adams Morgan,House,Private room,2,1,1,73.00,0.00,1,0,,moderate,
15344098,Best area in Adams Morgan: clean garden apartment,Apartment,Entire home/apt,2,1,1,120.00,0.00,3,15,100,flexible,2.11
62119,Deep in the Woods in Adams Morgan,House,Private room,1,1,1,70.00,10.00,3,171,96,moderate,2.19
11390439,Refurbished English Basement-Heart of Adams Morgan,Apartment,Entire home/apt,3,1,1,130.00,0.00,2,33,98,moderate,4.14
14203975,1 BDR in DuPont Circle / M Street NW,Treehouse,Private room,2,1,1,25.00,0.00,1,1,100,flexible,0.1
16734991,Mid Mod DC Condo with Gourmet Kitchen in AdMo,Condominium,Entire home/apt,4,1,1,625.00,0.00,2,2,100,moderate,1.02
3230666,Modern 2BD in Great Location,Apartment,Entire home/apt,6,2.5,2,190.00,20.00,2,53,99,strict,1.55
17435890,Lovely Remodeled Condo in the heart of Adam Morgan,Apartment,Entire home/apt,3,1.5,2,120.00,0.00,2,2,100,strict,1.13
17625778,Bright and Modern in Dupont,Apartment,Entire home/apt,2,1,1,101.00,0.00,1,4,100,strict,2.22
16766952,Adams Morgan 3 BR/2.5 BA townhouse,House,Entire home/apt,5,2.5,3,750.00,0.00,3,0,,moderate,
7221056,Luxury Suite in Embassy Row Home,House,Private room,2,1,1,120.00,0.00,1,51,96,moderate,2.32
12433404,Beautiful room in Dupont circle,Apartment,Private room,2,1,1,80.00,20.00,1,1,,flexible,0.08
32087,American Guest House - Room 301,Bed & Breakfast,Private room,2,1,1,249.00,0.00,1,13,96,strict,0.19
16687741,Spacious one bedroom apartment in great location!,Apartment,Entire home/apt,2,1,1,325.00,0.00,3,0,,flexible,
4639,Artsy Adams Morgan,Apartment,Entire home/apt,5,1,1,135.00,25.00,2,1,100,moderate,0.28
1297644,"Great 1 Bedroom Apt, Adams Morgan",Apartment,Entire home/apt,4,1,1,90.00,25.00,3,3,93,strict,0.07
18566255,Prime Adams Morgan DC Row-home Sleeps up to 15!,House,Entire home/apt,15,1,4,434.00,18.00,2,0,,strict,
17023173,Dupont Suite 1 near Washington Hilton,Apartment,Entire home/apt,3,1,0,99.00,10.00,1,12,87,strict,5
6313805,"BEST place in DC*LOCATION, LOCATION",Apartment,Entire home/apt,2,1,1,105.00,0.00,5,5,90,moderate,0.21
12069132,Great space in trendy Adams Morgan,Apartment,Entire home/apt,2,1,1,200.00,50.00,5,1,100,flexible,0.1
10311634,Adams Morgan (CLOSE TO EVERYTHING),Apartment,Entire home/apt,2,1,1,160.00,0.00,3,18,93,strict,1.31
4682700,Upscale 2BR/2BA w private rooftop deck,Apartment,Entire home/apt,4,2,2,139.00,0.00,6,0,,flexible,
14946599,1 Bed in Female-Only Hostel Dorm With Bathroom,Guesthouse,Shared room,1,1,1,49.00,0.00,1,1,100,flexible,0.14
17415617,"Private room, AMAZING location, historic charm!",Condominium,Private room,3,1.5,1,70.00,10.00,1,10,98,moderate,4.41
12585382,View + Perfect Location + Apartment,Apartment,Entire home/apt,2,1,1,135.00,20.00,2,83,92,moderate,6.59
6779201,Central and Spacious in DuPont/Admo,Apartment,Entire home/apt,3,1,1,87.00,25.00,2,89,96,strict,5.29
5931303,Discreet luxury. Perfect locale for inauguration.,Apartment,Entire home/apt,2,1.5,1,250.00,300.00,3,4,90,strict,0.16
11473564,Sunny Adams Morgan 1BR with balcony,Apartment,Entire home/apt,4,1,1,110.00,0.00,1,9,94,flexible,0.69
2598841,"Fab & fully equipped, very private & comfortable",Apartment,Entire home/apt,2,1,1,125.00,0.00,2,11,98,moderate,0.47
9258581,Row House @ Adams Morgan with Patio,House,Entire home/apt,4,2.5,2,80.00,0.00,1,4,85,flexible,0.22
12729747,Cute Studio Adams Morgan/Dupont,Apartment,Entire home/apt,2,1,0,175.00,0.00,3,0,,flexible,
16552770,"3BR 2BA Apartment in Adams Morgan, DC",Apartment,Entire home/apt,6,2,3,750.00,0.00,1,0,,moderate,
17072242,Apartment in DC,Apartment,Entire home/apt,1,1,1,182.00,0.00,1,0,,flexible,
