ID,name,sex,age,height,weight,team,year,season,city,sport,event,medal
1392,Esraa Ahmed El-Sayed,F,17,150,63,Egypt,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,NA
1394,Ghofran Ahmed Zaki,M,23,192,68,Egypt,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,NA
1405,Mohammed Ahmed,M,25,182,56,Canada,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
1405,Mohammed Ahmed,M,25,182,56,Canada,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 10,000 metres",NA
1413,Samia Mohamed Hagrass Ahmed,F,20,170,57,Egypt,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Duet,NA
1413,Samia Mohamed Hagrass Ahmed,F,20,170,57,Egypt,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,NA
1421,Masbah Ahmmed,M,21,NA,NA,Bangladesh,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,NA
1439,Murielle Ahour,F,28,165,58,Cote d'Ivoire,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,NA
1439,Murielle Ahour,F,28,165,58,Cote d'Ivoire,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,NA
1445,Gaby Diana Ahrens,F,35,169,60,Namibia,2016,Summer,Rio de Janeiro,Shooting,Shooting Women's Trap,NA
1451,Mohammad Ahsan,M,28,173,72,Indonesia,2016,Summer,Rio de Janeiro,Badminton,Badminton Men's Doubles,NA
1453,Nicole Ahsinger,F,18,163,58,United States,2016,Summer,Rio de Janeiro,Trampolining,Trampolining Women's Individual,NA
1462,Michelle-Lee Raquel Ahye,F,24,160,64,Trinidad and Tobago,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres,NA
1462,Michelle-Lee Raquel Ahye,F,24,160,64,Trinidad and Tobago,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,NA
1462,Michelle-Lee Raquel Ahye,F,24,160,64,Trinidad and Tobago,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,NA
