id,name,property_type,room_type,accommodates,bathrooms,bedrooms,price,extra_people,minimum_nights,number_of_reviews,review_scores_rating,cancellation_policy,reviews_per_month,price_gt_500
6016203,Chester A Arthur B& B Cinnamon Room,Bed & Breakfast,Private room,2,1,1,215,0,2,0,NA,strict,NA,FALSE
16207012,Logan Circle Cozy appartment! Great location!,Apartment,Shared room,2,1,1,37,15,1,13,100,strict,2.65,FALSE
11849892,Private Bath. Central DC Room. B1. Washington,Condominium,Private room,2,1,1,67,10,1,97,93,moderate,6.98,FALSE
16016075,"In the heart of DC, blocks from the White House!",Apartment,Entire home/apt,3,1,1,415,0,3,1,100,flexible,0.27,FALSE
16470182,Apartment in the Heart of Downtown,Apartment,Entire home/apt,2,1,1,80,0,3,24,98,moderate,5.58,FALSE
9457818,Room in spacious house with roof,House,Private room,2,1,1,80,0,1,1,100,flexible,0.06,FALSE
16518506,Relaxing Apt 2BR in Logan Circle DC,Apartment,Entire home/apt,5,1,2,1e3,0,2,0,NA,flexible,NA,TRUE
16337846,Charming Historic Townhouse in Logan Circle,Apartment,Entire home/apt,5,1,2,1200,0,1,0,NA,flexible,NA,TRUE
14206217,Cozy one-bedroom with great yard,Apartment,Entire home/apt,2,1,1,102,0,3,10,100,strict,1.23,FALSE
18041540,GORGEOUS Perfectly Located 2 BR 3 BED Row Home,Townhouse,Entire home/apt,6,2,2,191,40,2,9,96,strict,8.44,FALSE
16664148,"Large, Open, 2BR Walk-Up in Shaw",Apartment,Entire home/apt,5,1,2,120,0,2,1,100,flexible,0.27,FALSE
4244705,Front Suite(1BD/1BA) @Heart of DC,Apartment,Private room,3,1,1,130,40,2,89,96,moderate,2.81,FALSE
16303265,Next to downtown and 14th street,Apartment,Private room,2,1,1,100,0,2,7,97,flexible,1.74,FALSE
16270452,Logan Circle 5 Bedroom Townhouse in Heart of DC,Townhouse,Entire home/apt,10,3,5,950,65,1,0,NA,flexible,NA,TRUE
17381,[1477-1W] Lux 1 BRs  inLogan Circle,Apartment,Entire home/apt,2,1,1,249,0,5,0,NA,super_strict_30,NA,FALSE
15156157,Ye Olde Firehouse - The Colonial Suite,Guesthouse,Private room,2,1,1,165,0,2,2,90,moderate,1,FALSE
14404658,4BR Spacious Charming Brownstone w/ Rooftop Patio,House,Entire home/apt,7,2.5,4,400,50,2,8,100,strict,1.05,FALSE
6796992,Private Room near Convention Center,Apartment,Private room,2,1,1,75,15,2,3,93,flexible,0.13,FALSE
18563812,Room in spacious apartment on 14th Street,Apartment,Private room,1,1.5,1,103,0,2,0,NA,flexible,NA,FALSE
16171630,Unbeatable 2BR/2BA Inauguration Pad in A+ Location,Apartment,Entire home/apt,5,2,2,500,200,2,1,100,flexible,0.27,FALSE
16826968,1 jr bedroom apt | great location | Logan Circle,Apartment,Entire home/apt,4,1,1,270,0,2,5,100,moderate,5,FALSE
2302031,Located in the Heart of DC,House,Private room,2,1,1,85,10,2,177,97,strict,4.6,FALSE
5228009,"Modern, Perfectly Located D.C. Flat",Apartment,Private room,2,1,1,105,25,1,2,100,flexible,0.08,FALSE
902573,Primo Live-In Office Near Downtown,House,Private room,2,1,1,72,20,5,25,95,moderate,0.52,FALSE
16467354,Elegant 1BR/1BA Condo in Mount Vernon Triangle,Condominium,Entire home/apt,2,1,1,746,0,2,0,NA,flexible,NA,TRUE
16368033,*Free Parking in Inauguration MUST have!*,Apartment,Entire home/apt,4,1,2,660,0,3,0,NA,moderate,NA,TRUE
15483012,Private Bath. Central DC Room. A31. Washington,Condominium,Private room,3,1,1,75,10,1,56,98,moderate,8.04,FALSE
4112411,Q Street Sleepover in DC,Apartment,Entire home/apt,6,2.5,2,175,25,3,136,96,moderate,4.45,FALSE
12107688,Comfy Apt in Logan Circle DC!,Apartment,Entire home/apt,3,1,2,90,15,32,8,85,moderate,0.6,FALSE
16628332,14th Street Studio Walking Distance from WH,Apartment,Entire home/apt,4,1,0,500,0,1,0,NA,flexible,NA,FALSE
11648623,Urban Loft on 14th Street,Condominium,Entire home/apt,2,1,1,220,0,1,16,98,strict,1.14,FALSE
17972689,Walking Distance to All DC Has to Offer,Apartment,Private room,2,1,1,110,0,3,0,NA,strict,NA,FALSE
1883590,Walk everywhere from here,Apartment,Entire home/apt,5,1,1,117,0,30,11,90,strict,0.27,FALSE
13548986,Available July 4th Wknd! Modern 1BR in Luxury Bldg,Apartment,Entire home/apt,2,1,1,169,0,2,0,NA,flexible,NA,FALSE
16314039,New Classic Logan Circle Row House,House,Entire home/apt,8,2,3,2e3,0,1,0,NA,flexible,NA,TRUE
16464173,2BR/2B Condo .25 mile to Shaw Metro (Green Line),Condominium,Entire home/apt,4,2,2,867,0,1,0,NA,flexible,NA,TRUE
6135500,"Modern luxury in Shaw, short walk 2 metro/conv cen",Apartment,Entire home/apt,4,1,1,125,15,1,151,96,strict,6.09,FALSE
17632784,Great Space in New DC #2,House,Private room,1,1,1,65,0,4,3,73,strict,2.43,FALSE
15971356,Modern Luxury 1 BR Apartment in Shaw,Apartment,Entire home/apt,4,1,1,195,0,2,1,100,strict,0.27,FALSE
14497835,"Walking distance to downtown, with 2-car parking!",Townhouse,Entire home/apt,7,2.5,3,800,0,2,1,100,strict,0.11,TRUE
14727221,Spacious master bedroom in heart of Logan Circle,Condominium,Private room,2,1,1,120,25,2,3,100,moderate,0.51,FALSE
15482627,Private Bath. Central DC Room. A24. Washington,Condominium,Private room,3,1,1,77,10,1,62,91,moderate,8.9,FALSE
8339096,Beautiful apt with private roofdeck in Logan,Apartment,Entire home/apt,2,1,1,160,15,2,16,98,moderate,1.12,FALSE
11912326,Private Bath. Central DC Room. B2. Washington,Condominium,Private room,1,1,1,56,80,1,110,90,moderate,7.99,FALSE
16496087,Inauguration Special 10min walk to White House,Condominium,Entire home/apt,5,2,2,1150,0,3,0,NA,strict,NA,TRUE
6403422,Cozy Sunny Studio in Heart of DC,Apartment,Entire home/apt,2,1,0,80,0,4,11,100,moderate,0.49,FALSE
9876709,Spacious w/ patio in heart of city,Apartment,Entire home/apt,3,1,1,135,0,2,2,70,strict,0.28,FALSE
13121958,Convention Center+Bkfast/Classy Apt,Apartment,Private room,2,1,1,155,0,1,28,99,strict,2.49,FALSE
13744486,Washington 1BR Apt. near Logan and DuPont Circle,Apartment,Entire home/apt,4,1,1,199,50,3,0,NA,strict,NA,FALSE
2104840,Beautiful 2 bed/2 bath apartment on 14th St,Apartment,Entire home/apt,5,2,2,750,0,1,0,NA,moderate,NA,TRUE
16725012,Big 1 Bedroom Shaw Condo - Great for Inauguration!,Apartment,Entire home/apt,3,2,1,525,0,2,0,NA,moderate,NA,TRUE
2241400,"Modern, central studio with it all!",Apartment,Entire home/apt,2,1,0,105,0,5,40,97,moderate,1,FALSE
16429967,Modern & cozy 2BR in Logan Circle w/parking,Apartment,Entire home/apt,4,2,2,210,30,2,3,100,strict,2.57,FALSE
17183495,Cute Studio Apartment in Logan Circle/14th Street,Apartment,Entire home/apt,2,1,0,100,0,2,4,90,moderate,1.9,FALSE
16757501,Private Bed/bath for Inauguration,House,Private room,2,1,2,300,0,1,0,NA,flexible,NA,FALSE
16038784,"Beautiful, Modern 1 BD/1BA in Logan Circle",Apartment,Entire home/apt,2,1,1,151,0,2,1,100,strict,0.18,FALSE
